"";"long_min";"lat_min";"long_max";"lat_max"
"UA_65_Khersonska";31,50439453125;45,7565052367552;35,2795104980469;47,5828552246094
"UA_23_Zaporizka";34,2037048339844;46,255126953125;37,2208862304688;48,1301879882812
"UA_09_Luhanska";37,8473205566406;47,8115234375;40,1595153808594;50,0627746582031
"UA_14_Donetska";36,5311279296875;46,8755493164062;39,0555114746094;49,2317199707031
"UA_63_Kharkivska";34,8414611816406;48,5270080566406;38,0808410644531;50,4318542480469
"UA_12_Dnipropetrovska";32,9837341308594;47,473876953125;36,9271545410156;49,1830444335938
"all";32,0;46,0;40,0;50,0

